fn,tid,title,ratingcount,theyear,movieid,,,
titles01/tt0012349,tt0012349,Der Vagabund und das Kind (1921),40550,1921,1,,,
titles01/tt0015864,tt0015864,Goldrausch (1925),45319,1925,2,,,
titles01/tt0017136,tt0017136,Metropolis (1927),81007,1927,3,,,
titles01/tt0017925,tt0017925,Der General (1926),37521,1926,4,,,
titles01/tt0021749,tt0021749,Lichter der Großstadt (1931),70057,1931,5,,,
titles01/tt0022100,tt0022100,M (1931),73726,1931,6,,,
titles01/tt0025316,tt0025316,Es geschah in einer Nacht (1934),46503,1934,7,,,
titles01/tt0027977,tt0027977,Moderne Zeiten (1936),90847,1936,8,,,
titles01/tt0031381,tt0031381,Vom Winde verweht (1939),160414,1939,9,,,
titles01/tt0031679,tt0031679,Mr. Smith geht nach Washington (1939),58169,1939,10,,,
titles01/tt0032138,tt0032138,Der Zauberer von Oz (1939),209506,1939,11,,,
titles01/tt0032551,tt0032551,Früchte des Zorns (1940),45737,1940,12,,,
titles01/tt0032553,tt0032553,Der große Diktator (1940),87969,1940,13,,,
titles01/tt0032976,tt0032976,Rebecca (1940),65670,1940,14,,,
titles01/tt0033467,tt0033467,Citizen Kane (1941),228617,1941,15,,,
titles01/tt0033870,tt0033870,Die Spur des Falken (1941),86012,1941,16,,,
titles01/tt0034583,tt0034583,Casablanca (1942),296802,1942,17,,,
titles01/tt0036775,tt0036775,Frau ohne Gewissen (1944),71266,1944,18,,,
titles01/tt0036868,tt0036868,Die besten Jahre unseres Lebens (1946),30002,1946,19,,,
titles01/tt0038355,tt0038355,Tote schlafen fest (1946),50020,1946,20,,,
titles01/tt0038650,tt0038650,It's a Wonderful Life (1946),197764,1946,21,,,
titles01/tt0038787,tt0038787,Berüchtigt (1946),56306,1946,22,,,
titles01/tt0040522,tt0040522,Fahrraddiebe (1948),63797,1948,23,,,
titles01/tt0040746,tt0040746,Cocktail für eine Leiche (1948),72370,1948,24,,,
titles01/tt0040897,tt0040897,Der Schatz der Sierra Madre (1948),59298,1948,25,,,
titles01/tt0041959,tt0041959,Der dritte Mann (1949),85964,1949,26,,,
titles01/tt0042192,tt0042192,Alles über Eva (1950),61738,1950,27,,,
titles01/tt0042876,tt0042876,Rashomon (1950),74219,1950,28,,,
titles01/tt0043014,tt0043014,Boulevard der Dämmerung (1950),102072,1950,29,,,
titles01/tt0044079,tt0044079,Der Fremde im Zug (1951),69387,1951,30,,,
titles01/tt0044706,tt0044706,Zwölf Uhr mittags (1952),60817,1952,31,,,
titles01/tt0044741,tt0044741,Ikiru - Einmal richtig leben (1952),29478,1952,32,,,
titles01/tt0045152,tt0045152,Du sollst mein Glücksstern sein (1952),108115,1952,33,,,
titles01/tt0046250,tt0046250,Ein Herz und eine Krone (1953),69739,1953,34,,,
titles01/tt0046359,tt0046359,Stalag 17 (1953),36013,1953,35,,,
titles01/tt0046911,tt0046911,Die Teuflischen (1955),29309,1955,36,,,
titles01/tt0046912,tt0046912,Bei Anruf Mord (1954),72579,1954,37,,,
titles01/tt0047296,tt0047296,Die Faust im Nacken (1954),74023,1954,38,,,
titles01/tt0047396,tt0047396,Das Fenster zum Hof (1954),229323,1954,39,,,
titles01/tt0047478,tt0047478,Die sieben Samurai (1954),172690,1954,40,,,
titles01/tt0047528,tt0047528,Das Lied der Straße (1954),35143,1954,41,,,
titles01/tt0048424,tt0048424,Die Nacht des Jägers (1955),47739,1955,42,,,
titles01/tt0049406,tt0049406,Killing (1956),47740,1956,43,,,
titles01/tt0050083,tt0050083,Die zwölf Geschworenen (1957),293725,1957,44,,,
titles01/tt0050212,tt0050212,Die Brücke am Kwai (1957),109972,1957,45,,,
titles01/tt0050825,tt0050825,Wege zum Ruhm (1957),84945,1957,46,,,
titles01/tt0050976,tt0050976,Das siebente Siegel (1957),80684,1957,47,,,
titles01/tt0050986,tt0050986,Wilde Erdbeeren (1957),45457,1957,48,,,
titles01/tt0051201,tt0051201,Zeugin der Anklage (1957),40385,1957,49,,,
titles01/tt0052311,tt0052311,Im Zeichen des Bösen (1958),55474,1958,50,,,
titles01/tt0052357,tt0052357,Vertigo - Aus dem Reich der Toten (1958),176267,1958,51,,,
titles01/tt0052618,tt0052618,Ben Hur (1959),115402,1959,52,,,
titles01/tt0053125,tt0053125,Der unsichtbare Dritte (1959),166029,1959,53,,,
titles01/tt0053198,tt0053198,Sie küßten und sie schlugen ihn (1959),49996,1959,54,,,
titles01/tt0053291,tt0053291,Manche mögen's heiß (1959),129721,1959,55,,,
