title,artist,album,theyear,discovery,rank,songid
Big Bird,AJJ,Knife Man,2011,College,21,1
Radio,Alkaline Trio,Maybe I'll Catch Fire,2000,College,58,2
Stay Home,American Football,American Football,1998,College,19,3
Sprawl II (Mountains Beyond Mountains),Arcade Fire,The Suburbs,2010,College,31,4
Cornerstone,Arctic Monkeys,Humbug,2009,High School,27,5
Suck It and See,Arctic Monkeys,Suck It and See,2011,College,52,6
"If I Had $1,000,000",Barenaked Ladies,Gordon,1992,High School,54,7
Wouldn't It Be Nice?,The Beach Boys,Pet Sounds,1966,High School,45,8
While My Guitar Gently Weeps,The Beatles,The Beatles (White Album),1968,High School,26,9
I've Just Seen a Face,The Beatles,Help!,1965,High School,11,10
Another Sunny Day,Belle & Sebastian,The Life Pursuit,2006,High School,98,11
Masterpiece,Big Thief,Masterpiece,2016,Post-Grad,83,12
Desolation Row,Bob Dylan,Highway 61 Revisited,1965,Post-Grad,25,13
8 (circle),Bon Iver,"22, A Million",2016,Post-Grad,49,14
For Emma,Bon Iver,"For Emma, Forever Ago",2008,Post-Grad,29,15
Limousine,Brand New,The Devil and God Are Raging Inside Me,2006,College,7,16
Let's Not Shit Ourselves (To Love and Be Loved),Bright Eyes,"LIFTED: Or the Story Is in the Soil, Keep Your Ear to the Ground",2002,Post-Grad,16,17
Thunder Road,Bruce Springsteen,Born to Run,1975,High School,5,18
Waiting for My Real Life to Begin,Colin Hay,Going Somewhere,2000,College,94,19
Jerusalem,Dan Bern,Dan Bern,1997,College,84,20
Oh! You Pretty Things,David Bowie,Hunky Dory,1971,High School,44,21
Rock 'N' Roll Suicide,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,High School,13,22
Take It Easy,The Eagles,Eagles,1972,High School,14,23
Hotel California,The Eagles,Hotel California,1976,Childhood,43,24
Dream a Little Dream of Me,"Ella Fitzgerald, Louis Armstrong",Ella & Friends,1996,College,87,25
Angeles,Elliott Smith,Either/Or,1997,College,32,26
Miss Misery,Elliott Smith,Good Will Hunting / Music from the Miramax Motion Picture,1997,College,42,27
"What a Catch, Donnie",Fall Out Boy,Folie a Deux,2008,College,70,28
I Went to the Store One Day,Father John Misty,"I Love You, Honeybear",2015,College,56,29
Helplessness Blues,Fleet Foxes,Helplessness Blues,2011,College,28,30
Tamago,Forests,Sun Eat Moon Grave Party,2017,Post-Grad,97,31
Dog Problems,The Format,Dog Problems,2006,High School,8,32
If Work Permits,The Format,Dog Problems,2006,College,35,33
Self Control,Frank Ocean,Blonde,2016,Post-Grad,38,34
White Ferrari,Frank Ocean,Blonde,2016,Post-Grad,61,35
Whistle for the Choir,The Fratellis,Costello Music,2007,High School,73,36
The Beers,The Front Bottoms,The Front Bottoms,2011,College,90,37
Take Your Time (Coming Home),fun.,Aim and Ignite,2009,High School,50,38
Jamie Marie,Girls,"Father, Son, Holy Ghost",2011,College,60,39
Album of the Year,The Good Life,Album of the Year,2004,College,46,40
Jesus of Suburbia,Green Day,American Idiot,2004,Childhood,4,41
Basket Case,Green Day,Dookie,1994,Childhood,76,42
"Lover, Where Do You Live?",Highasakite,Silent Treatment,2014,College,86,43
Two Deliverances,The Hotelier,Goodness,2016,Post-Grad,20,44
Dendron,The Hotelier,"Home, Like Noplace Is There",2014,Post-Grad,51,45
BTSTU (Edit),Jai Paul,BTSTU (Single),2011,Post-Grad,79,46
Soft Sounds from Another Planet,Japanese Breakfast,Soft Sounds from Another Planet,2017,Post-Grad,68,47
Get Old Forever,Jeff Rosenstock,We Cool?,2015,College,39,48
"You, In Weird Cities",Jeff Rosenstock,We Cool?,2015,College,9,49
Ultralight Beam,Kanye West,The Life of Pablo,2016,College,53,50
i,Kendrick Lamar,To Pimp a Butterfly,2015,College,67,51
All These Things That I've Done,The Killers,Hot Fuss,2004,High School,34,52
All My Friends,LCD Soundsystem,Sound of Silver,2007,College,24,53
Home,LCD Soundsystem,This Is Happening,2010,Post-Grad,41,54
Immigrant Song,Led Zeppelin,Led Zeppelin III,1970,Childhood,69,55
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,1971,Childhood,36,56
